dataset,subject,session,fmap,task
PNC,2822781649,PNC1,none,task-idemo_acq-VARIANTNumVolumesNoFmap
PNC,2824066679,PNC1,phasediff,task-frac2back
PNC,2824066679,PNC1,phasediff,task-idemo
PNC,2824066679,PNC1,phasediff,task-rest_acq-singleband
PNC,2840008346,PNC1,phasediff,task-frac2back
PNC,2840008346,PNC1,phasediff,task-idemo
PNC,2840008346,PNC1,phasediff,task-rest_acq-singleband
PNC,2871739930,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,2871739930,PNC1,phasediff,task-idemo
PNC,2877714252,PNC1,phasediff,task-frac2back
PNC,2877714252,PNC1,phasediff,task-idemo
PNC,2877714252,PNC1,phasediff,task-rest_acq-singleband
PNC,2918766267,PNC1,phasediff,task-frac2back
PNC,2933490015,PNC1,phasediff,task-frac2back
PNC,2933490015,PNC1,phasediff,task-idemo
PNC,2933490015,PNC1,phasediff,task-rest_acq-100
PNC,2933490015,PNC1,phasediff,task-rest_acq-singleband
PNC,2933854864,PNC1,phasediff,task-frac2back
PNC,2933854864,PNC1,phasediff,task-idemo
PNC,2933854864,PNC1,phasediff,task-rest_acq-singlebandVARIANTNumVolumes
PNC,2935256495,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,2939479952,PNC1,phasediff,task-frac2back
PNC,2939479952,PNC1,phasediff,task-idemo
PNC,2939479952,PNC1,phasediff,task-rest_acq-singleband
PNC,2994983988,PNC1,phasediff,task-idemo_acq-VARIANTNumVolumes
PNC,3076915122,PNC1,none,task-idemo_acq-VARIANTNumVolumesNoFmap
PNC,3090132303,PNC1,phasediff,task-frac2back
PNC,3090132303,PNC1,phasediff,task-idemo
PNC,3090132303,PNC1,phasediff,task-rest_acq-singleband
PNC,3092187032,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3092187032,PNC1,phasediff,task-idemo
PNC,3092187032,PNC1,phasediff,task-rest_acq-singleband
PNC,3103368139,PNC1,none,task-frac2back_acq-VARIANTNoFmap
PNC,3103368139,PNC1,none,task-idemo_acq-VARIANTNoFmap
PNC,3103368139,PNC1,none,task-rest_acq-singlebandVARIANTNoFmap
PNC,3123810007,PNC1,phasediff,task-frac2back
PNC,3123810007,PNC1,phasediff,task-idemo
PNC,3123810007,PNC1,phasediff,task-rest_acq-singleband
PNC,3150163478,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3150163478,PNC1,phasediff,task-idemo
PNC,3150163478,PNC1,phasediff,task-rest_acq-singleband
PNC,3176046588,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3176046588,PNC1,phasediff,task-idemo
PNC,3176046588,PNC1,phasediff,task-rest_acq-singleband
PNC,3176914833,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3176914833,PNC1,phasediff,task-idemo_acq-VARIANTNumVolumes
PNC,3185151244,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3185151244,PNC1,phasediff,task-idemo
PNC,3185151244,PNC1,phasediff,task-rest_acq-singleband
PNC,3207921706,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3207921706,PNC1,phasediff,task-idemo
PNC,3207921706,PNC1,phasediff,task-rest_acq-100
PNC,3207921706,PNC1,phasediff,task-rest_acq-singleband
PNC,3236644272,PNC1,phasediff,task-frac2back
PNC,3236644272,PNC1,phasediff,task-idemo_acq-VARIANTNumVolumes
PNC,3236644272,PNC1,phasediff,task-rest_acq-singleband
PNC,3247943782,PNC1,phasediff,task-frac2back
PNC,3247943782,PNC1,phasediff,task-idemo
PNC,3247943782,PNC1,phasediff,task-rest_acq-100
PNC,3247943782,PNC1,phasediff,task-rest_acq-singleband
PNC,326891280,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,326891280,PNC1,phasediff,task-idemo
PNC,326891280,PNC1,phasediff,task-rest_acq-singleband
PNC,3319985890,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3319985890,PNC1,phasediff,task-idemo
PNC,3319985890,PNC1,phasediff,task-rest_acq-singleband
PNC,3323308438,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3323308438,PNC1,phasediff,task-idemo
PNC,3323308438,PNC1,phasediff,task-rest_acq-singleband
PNC,3332328549,PNC1,phasediff,task-frac2back
PNC,3332328549,PNC1,phasediff,task-idemo
PNC,3332328549,PNC1,phasediff,task-rest_acq-singlebandVARIANTNumVolumes
PNC,3362293049,PNC1,phasediff,task-frac2back
PNC,3362293049,PNC1,phasediff,task-rest_acq-singleband
PNC,337120853,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,337120853,PNC1,phasediff,task-idemo
PNC,337120853,PNC1,phasediff,task-rest_acq-singleband
PNC,3373396339,PNC1,none,task-frac2back_acq-VARIANTNoFmap
