method,trial,nrow,nelem,rt,val
duckdb_v2,0,1000,10,0.014239057898521423,0.011832886307516728
duckdb_v2,0,1000,100,0.013301849365234375,-0.002703730553602594
duckdb_v2,0,1000,1000,0.08074179012328386,-0.005409076646064335
duckdb_v2,0,1000,10000,0.5965048726648092,6.186438758137809e-05
duckdb_v2,0,10000,10,0.01014750823378563,-0.017896493930328022
duckdb_v2,0,10000,100,0.027713019400835037,-0.009228455319404378
duckdb_v2,0,10000,1000,0.13264471851289272,-0.003127014850442378
duckdb_v2,0,10000,10000,0.8948692353442311,0.0004524936390244066
duckdb_v2,0,100000,10,0.05137831252068281,-0.017633860011327527
duckdb_v2,0,100000,100,0.0880796043202281,0.016379920782018047
duckdb_v2,0,100000,1000,0.37253435607999563,0.0019784448800774217
duckdb_v2,0,100000,10000,4.468679205514491,0.00030797911866480937
duckdb_v2,1,1000,10,0.07468529231846333,0.011832886307516728
duckdb_v2,1,1000,100,0.1366775380447507,-0.002703730553602594
duckdb_v2,1,1000,1000,0.13418304733932018,-0.005409076646064335
duckdb_v2,1,1000,10000,0.7258012657985091,6.186438758137772e-05
duckdb_v2,1,10000,10,0.08777564391493797,-0.017896493930328022
duckdb_v2,1,10000,100,0.08896858431398869,-0.009228455319404378
duckdb_v2,1,10000,1000,0.5772420549765229,-0.003127014850442379
duckdb_v2,1,10000,10000,1.8707540342584252,0.0004524936390244061
duckdb_v2,1,100000,10,0.21731289941817522,-0.017633860011327527
duckdb_v2,1,100000,100,0.2846688125282526,0.016379920782018047
duckdb_v2,1,100000,1000,1.4860027357935905,0.0019784448800774217
duckdb_v2,1,100000,10000,11.766358663327992,0.0003079791186648089
duckdb_v2,2,1000,10,0.051365599036216736,0.011832886307516728
duckdb_v2,2,1000,100,0.01720801182091236,-0.002703730553602594
duckdb_v2,2,1000,1000,0.08583573345094919,-0.005409076646064335
duckdb_v2,2,1000,10000,0.5943677211180329,6.186438758137765e-05
duckdb_v2,2,10000,10,0.04255370795726776,-0.017896493930328022
duckdb_v2,2,10000,100,0.027361550368368626,-0.009228455319404378
duckdb_v2,2,10000,1000,0.14105450455099344,-0.003127014850442378
duckdb_v2,2,10000,10000,0.9670019950717688,0.0004524936390244064
duckdb_v2,2,100000,10,0.04433509148657322,-0.017633860011327527
duckdb_v2,2,100000,100,0.10365195572376251,0.016379920782018047
duckdb_v2,2,100000,1000,0.4590640217065811,0.0019784448800774217
duckdb_v2,2,100000,10000,9.877515098080039,0.0003079791186648098
